,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yenagoa,NG,4.9247,6.2642,79.16,72,72,5.88,broken clouds
79,Sao Filipe,CV,14.8961,-24.4956,73.87,79,29,7.56,scattered clouds
80,Opuwo,NA,-18.0607,13.84,63.41,25,0,10.38,clear sky
81,Garowe,SO,8.4054,48.4845,82.99,43,63,32.41,broken clouds
82,Tiksi,RU,71.6872,128.8694,41.47,81,39,10.89,scattered clouds
83,Hermanus,ZA,-34.4187,19.2345,52.9,63,100,11.05,overcast clouds
84,Lagoa,PT,39.05,-27.9833,71.22,86,100,9.04,overcast clouds
85,Cockburn Town,TC,21.4612,-71.1419,81.36,76,100,14.43,overcast clouds
86,Kabo,CF,7.6994,18.629,78.15,73,91,4.56,overcast clouds
87,Sisimiut,GL,66.9395,-53.6735,50.27,70,16,2.06,few clouds
88,Khotyn,UA,48.4833,26.5,86.27,55,93,2.06,overcast clouds
89,Kapaa,US,22.0752,-159.319,80.92,76,75,1.99,broken clouds
90,Hilo,US,19.7297,-155.09,73.26,91,90,6.91,moderate rain
91,La Sarre,CA,48.8002,-79.1996,46.35,86,10,2.35,clear sky
92,Ixtapa,MX,20.7,-105.2,78.22,93,100,1.01,overcast clouds
93,Torbay,CA,47.6666,-52.7314,65.75,97,100,9.28,overcast clouds
94,Okhotsk,RU,59.3833,143.3,59.52,75,84,12.8,broken clouds
95,Tuatapere,NZ,-46.1333,167.6833,47.82,88,90,4.5,overcast clouds
96,Kokopo,PG,-4.352,152.2633,80.35,79,100,7.27,light rain
97,Lompoc,US,34.6391,-120.4579,61.11,89,90,0.0,overcast clouds
98,Porbandar,IN,21.6422,69.6093,83.7,80,100,28.86,overcast clouds
99,Ishigaki,JP,24.3448,124.1572,84.16,78,100,4.56,overcast clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,84.61,75,59,1.01,broken clouds
101,Chokurdakh,RU,70.6333,147.9167,45.46,58,20,16.11,few clouds
102,Bambous Virieux,MU,-20.3428,57.7575,66.22,79,100,22.75,light rain
103,Benghazi,LY,32.1167,20.0667,83.25,54,0,6.53,clear sky
104,Cidreira,BR,-30.1811,-50.2056,43.54,69,3,17.87,clear sky
105,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,73,90,16.11,overcast clouds
106,Port Hardy,CA,50.6996,-127.4199,56.34,84,28,1.21,scattered clouds
107,Souillac,MU,-20.5167,57.5167,66.36,79,100,21.12,light rain
108,Chesma,RU,53.8111,60.6533,67.01,55,48,9.42,scattered clouds
109,Padang,ID,-0.9492,100.3543,86.05,75,89,4.52,overcast clouds
110,Japura,ID,-0.3167,102.35,94.86,35,81,4.34,broken clouds
111,Beira,MZ,-19.8436,34.8389,71.69,78,20,5.75,few clouds
112,Ponta Do Sol,PT,32.6667,-17.1,76.01,76,36,4.88,scattered clouds
113,Caraballeda,VE,10.6112,-66.8522,79.38,85,75,6.91,drizzle
114,Pevek,RU,69.7008,170.3133,35.56,95,100,15.75,light rain
115,Ilo,PE,-17.6394,-71.3375,58.26,85,53,5.75,broken clouds
116,Puerto Leguizamo,CO,-0.1934,-74.7819,69.31,99,81,0.92,broken clouds
117,Hofn,IS,64.2539,-15.2082,48.22,93,90,5.75,overcast clouds
118,Carnarvon,AU,-24.8667,113.6333,68.27,62,87,7.05,overcast clouds
119,Camana,PE,-16.6228,-72.7111,59.2,89,59,8.41,broken clouds
120,Atuona,PF,-9.8,-139.0333,78.13,70,5,18.34,clear sky
121,Lethem,GY,3.3803,-59.7968,73.11,93,95,3.78,overcast clouds
122,Castro,BR,-24.7911,-50.0119,36.39,94,9,7.11,clear sky
123,Rio Gallegos,AR,-51.6226,-69.2181,44.65,81,0,12.66,clear sky
124,Besikduzu,TR,41.052,39.2284,80.49,68,17,19.8,few clouds
125,Saskylakh,RU,71.9167,114.0833,72.79,30,17,17.47,few clouds
126,Meulaboh,ID,4.1363,96.1285,86.0,65,61,9.4,broken clouds
127,Kibre Mengist,ET,5.8833,38.9833,55.98,97,100,3.78,light rain
128,Pelym,RU,61.0108,61.9978,49.24,77,100,11.36,overcast clouds
129,Kaura Namoda,NG,12.5898,6.5779,75.31,79,84,10.58,broken clouds
130,Pestravka,RU,52.405,49.9583,79.11,35,59,9.4,broken clouds
131,Bousso,TD,10.4795,16.7117,76.06,82,100,7.49,overcast clouds
132,Ilulissat,GL,69.2167,-51.1,48.22,66,100,3.44,overcast clouds
133,Patacamaya,BO,-17.2333,-67.9167,37.35,59,12,5.64,few clouds
134,Kirakira,SB,-10.4544,161.9205,79.36,84,13,9.13,few clouds
135,Warmbad,NA,-28.45,18.7333,56.68,36,0,3.53,clear sky
136,Fershampenuaz,RU,53.5202,59.8117,67.42,48,64,10.31,broken clouds
137,Rapar,IN,23.5667,70.6333,84.16,74,100,25.03,overcast clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,70.52,89,3,24.45,clear sky
139,Tabursuq,TN,36.4569,9.2475,90.32,10,0,9.4,clear sky
140,Fuyu,CN,45.1833,124.8167,84.13,61,99,3.51,overcast clouds
141,Hirara,JP,24.8,125.2833,83.75,80,100,6.58,overcast clouds
142,Krasnoselkup,RU,65.7,82.4667,59.36,60,100,7.34,overcast clouds
143,Lorengau,PG,-2.0226,147.2712,82.78,78,6,7.07,clear sky
